slug,tour,start,surface,round,winner_id,winner_name,winner_ioc,loser_id,loser_name,loser_ioc,score
2026BirminghamChallenger,atp,2026-06-01,Grass,R32,209409,Coleman Wong,HKG,210472,Oliver Tarvet,GBR,7-6(5) 7-6(10)
2026BirminghamChallenger,atp,2026-06-01,Grass,R32,210136,Mark Lajal,EST,209857,Leandro Riedi,SUI,6-2 7-6(1)
2026BirminghamChallenger,atp,2026-06-01,Grass,R32,211542,Filippo Romano,ITA,206889,Clement Chidekh,FRA,3-6 6-4 6-4
2026BirminghamChallenger,atp,2026-06-01,Grass,SF,202261,Otto Virtanen,FIN,111794,Kamil Majchrzak,POL,7-6(6) 6-7(5) 7-6(7)
2026BirminghamChallenger,atp,2026-06-01,Grass,SF,207352,Bu Yunchaokete,CHN,209259,Arthur Fery,GBR,6-2 3-6 6-3
2026Centurion2Challenger,atp,2026-06-01,Hard,F,202475,Philip Henning,RSA,200574,Alexander Donski,BUL,6-2 3-6 7-6(6)
2026Centurion2Challenger,atp,2026-06-01,Hard,Q1,144748,Kris Van Wyk,RSA,213990,Simphiwe Ngwenya,RSA,6-1 6-4
2026Centurion2Challenger,atp,2026-06-01,Hard,Q1,200574,Alexander Donski,BUL,213600,Dillon Beckles,USA,6-3 6-3
2026Centurion2Challenger,atp,2026-06-01,Hard,Q1,207927,Thando Longwe Smit,RSA,214038,Laurence Teunissen,NED,6-2 6-2
2026Centurion2Challenger,atp,2026-06-01,Hard,Q1,208267,Oscar Weightman,GBR,209281,Dylan Salton,RSA,6-1 6-1
2026Centurion2Challenger,atp,2026-06-01,Hard,Q1,208844,Keshav Chopra,USA,208186,Preston Brown,USA,6-3 6-7(8) 6-3
2026Centurion2Challenger,atp,2026-06-01,Hard,Q1,209278,Alec Beckley,RSA,200310,Alexander Zgirovsky,BLR,6-4 6-4
2026Centurion2Challenger,atp,2026-06-01,Hard,Q1,210039,Orel Kimhi,ISR,111568,Michael Zhu,USA,5-7 6-4 6-2
2026Centurion2Challenger,atp,2026-06-01,Hard,Q1,210513,Tuncay Duran,TUR,200166,Stefan Vujic,AUS,6-4 7-6(5)
2026Centurion2Challenger,atp,2026-06-01,Hard,Q1,210683,Peter Buldorini,ITA,213656,Mark Nawa,BWA,6-1 6-1
2026Centurion2Challenger,atp,2026-06-01,Hard,Q1,211409,Guillaume Dalmasso,FRA,210645,Ofek Shimanov,ISR,6-3 6-7(3) 6-3
2026Centurion2Challenger,atp,2026-06-01,Hard,Q1,211897,Naoya Honda,JPN,210658,Andreas Scott,RSA,3-6 7-6(3) 6-3
2026Centurion2Challenger,atp,2026-06-01,Hard,Q1,213010,Marc Van Der Merwe,RSA,210227,Connor Henry Van Schalkwyk,NAM,6-2 7-5
2026Centurion2Challenger,atp,2026-06-01,Hard,Q2,200574,Alexander Donski,BUL,211897,Naoya Honda,JPN,2-6 6-3 6-4
2026Centurion2Challenger,atp,2026-06-01,Hard,Q2,208267,Oscar Weightman,GBR,208844,Keshav Chopra,USA,6-2 6-0
2026Centurion2Challenger,atp,2026-06-01,Hard,Q2,209278,Alec Beckley,RSA,207927,Thando Longwe Smit,RSA,6-2 6-3
2026Centurion2Challenger,atp,2026-06-01,Hard,Q2,210039,Orel Kimhi,ISR,213010,Marc Van Der Merwe,RSA,6-4 7-6(2)
2026Centurion2Challenger,atp,2026-06-01,Hard,Q2,210513,Tuncay Duran,TUR,144748,Kris Van Wyk,RSA,6-3 6-2
2026Centurion2Challenger,atp,2026-06-01,Hard,Q2,211409,Guillaume Dalmasso,FRA,210683,Peter Buldorini,ITA,7-6(3) 6-4
2026Centurion2Challenger,atp,2026-06-01,Hard,QF,200574,Alexander Donski,BUL,210513,Tuncay Duran,TUR,4-6 7-6(6) 6-2
2026Centurion2Challenger,atp,2026-06-01,Hard,QF,202475,Philip Henning,RSA,208144,Giles Hussey,GBR,6-2 6-1
2026Centurion2Challenger,atp,2026-06-01,Hard,QF,207809,Khololwam Montsi,RSA,207907,Arda Azkara,TUR,6-1 6-4
2026Centurion2Challenger,atp,2026-06-01,Hard,QF,208004,Harold Mayot,FRA,209131,Eliakim Coulibaly,CIV,7-5 6-4
2026Centurion2Challenger,atp,2026-06-01,Hard,R16,200574,Alexander Donski,BUL,210399,Edward Winter,AUS,7-6(2) 6-7(4) 7-5
2026Centurion2Challenger,atp,2026-06-01,Hard,R16,202475,Philip Henning,RSA,207669,Robert Strombachs,LAT,6-2 6-3
2026Centurion2Challenger,atp,2026-06-01,Hard,R16,207809,Khololwam Montsi,RSA,208605,Mario Gonzalez Fernandez,ESP,6-1 6-3
