rank,player_id,name,elo,hard,clay,grass,updated
289,,Ye Xin Ma,1460.7,1452.2,1248.7,1366.3,2026-09-21
290,,Federica Urgesi,1459.4,1357.1,1442.2,1404.7,2026-09-21
291,,Whitney Osuigwe,1457.5,1428.3,1430.0,1314.5,2026-09-21
292,,Ida Wobker,1456.0,1443.6,1448.6,1478.0,2026-09-21
293,,Arianne Hartono,1452.8,1435.5,1375.4,1364.6,2026-09-21
294,,Camilla Rosatello,1450.8,1373.4,1483.5,1342.6,2026-09-21
295,,Katherine Sebov,1450.2,1427.8,1366.2,1415.9,2026-09-21
296,,Sada Nahimana,1450.0,1331.9,1442.4,1400.0,2026-09-21
297,,Yasmine Kabbaj,1447.9,1358.1,1434.1,1399.0,2026-09-21
298,,Zongyu Li,1447.6,1462.9,1331.1,1398.8,2026-09-21
299,,Ipek Oz,1447.2,1382.4,1428.4,1367.6,2026-09-21
300,,Luna Vujovic,1446.0,1338.0,1417.7,1398.0,2026-09-21
301,,Jule Niemeier,1444.0,1435.8,1427.0,1442.0,2026-09-21
302,,Lea Nilsson,1442.7,1375.7,1420.7,1396.3,2026-09-21
303,,Xiaodi You,1442.4,1456.9,1322.5,1323.0,2026-09-21
304,,Reese Brantmeier,1442.3,1409.3,1288.3,1403.0,2026-09-21
305,,Elena Ruxandra Bertea,1442.3,1320.3,1424.4,1396.2,2026-09-21
306,,Eva Bennemann,1439.9,1457.3,1396.1,1395.0,2026-09-21
307,,Despina Papamichail,1439.5,1390.8,1410.4,1399.9,2026-09-21
308,,Cadence Brace,1438.8,1427.6,1255.6,1333.5,2026-09-21
309,,Amandine Hesse,1437.4,1415.8,1384.6,1335.2,2026-09-21
310,,Ayana Akli,1437.1,1425.8,1349.5,1365.1,2026-09-21
311,,Clervie Ngounoue,1436.7,1411.7,1387.8,1356.1,2026-09-21
312,,Chloe Paquet,1436.5,1410.1,1403.2,1347.9,2026-09-21
313,,Lina Gjorcheska,1435.1,1399.9,1390.5,1469.9,2026-09-21
314,,Julie Struplova,1434.7,1333.9,1423.7,1392.3,2026-09-21
315,,Sara Saito,1432.2,1432.4,1362.7,1313.5,2026-09-21
316,,Lea Ma,1431.3,1396.9,1325.7,1387.2,2026-09-21
317,,Hayu Kinoshita,1429.4,1413.3,1277.3,1378.4,2026-09-21
318,,Aurora Zantedeschi,1429.4,1245.4,1410.0,1389.7,2026-09-21
319,,Berfu Cengiz,1429.1,1393.5,1413.5,1369.9,2026-09-21
320,,Ane Mintegi Del Olmo,1428.9,1397.4,1396.9,1389.5,2026-09-21
321,,Maria Aran Teixido Garcia,1426.9,1349.5,1399.4,1388.5,2026-09-21
322,,Lizette Cabrera,1426.8,1392.6,1334.4,1421.3,2026-09-21
323,,Mei Yamaguchi,1424.6,1397.2,1303.9,1355.9,2026-09-21
324,,Aneta Kladivova,1424.0,1356.1,1414.7,1387.0,2026-09-21
325,,Angela Fita Boluda,1423.1,1310.2,1396.3,1356.1,2026-09-21
326,,Ekaterina Reyngold,1423.0,1431.1,1362.7,1386.5,2026-09-21
327,,Matilde Jorge,1420.7,1422.0,1297.6,1385.3,2026-09-21
328,,Britt Du Pree,1418.8,1430.2,1302.4,1354.0,2026-09-21
329,,Elena Malygina,1417.4,1436.2,1299.2,1458.7,2026-09-21
330,,Kristina Mladenovic,1417.3,1401.5,1368.1,1415.4,2026-09-21
331,,Hong Yi Cody Wong,1416.7,1384.0,1339.3,1383.4,2026-09-21
332,,Miho Kuramochi,1413.7,1398.0,1321.9,1379.7,2026-09-21
333,,Jenny Lim,1413.1,1317.8,1390.0,1381.6,2026-09-21
334,,Ena Shibahara,1411.7,1385.2,1437.2,1394.7,2026-09-21
335,,Loes Ebeling Koning,1410.5,1320.3,1381.5,1342.5,2026-09-21
336,,Gina Feistel,1409.7,1302.5,1398.1,1379.8,2026-09-21
337,,Vivian Wolff,1409.6,1430.5,1357.4,1379.8,2026-09-21
338,,Elena Micic,1409.2,1388.6,1289.5,1379.6,2026-09-21
339,,Haruka Kaji,1408.1,1394.1,1326.5,1416.6,2026-09-21
340,,Martha Matoula,1407.0,1328.9,1400.3,1453.5,2026-09-21
341,,Selena Janicijevic,1405.5,1337.3,1385.9,1396.5,2026-09-21
342,,Laima Vladson,1405.5,1300.4,1385.1,1377.8,2026-09-21
343,,Lea Boskovic,1403.9,1357.6,1378.8,1411.8,2026-09-21
344,,Tina Nadine Smith,1401.1,1388.2,1363.1,1375.5,2026-09-21
345,,Lucie Nguyen Tan,1400.8,1291.2,1372.1,1375.4,2026-09-21
346,,Naiktha Bains,1400.4,1397.2,1330.6,1283.0,2026-09-21
347,,Sakura Hosogi,1399.7,1410.7,1260.6,1374.8,2026-09-21
348,,Nuria Parrizas Diaz,1398.1,1399.5,1393.7,1351.8,2026-09-21
