player_id,hand,dob,ioc,height
200199,U,,AUS,
200200,U,19360113,AUS,
200201,U,,AUS,
200202,U,,AUS,
200203,U,19510126,AUS,
200204,U,,AUS,
200205,U,,AUS,
200206,U,,AUS,
200207,U,,AUS,
200208,U,,AUS,
200209,R,19521126,AUS,164
200210,U,,AUS,
200211,R,19470118,GBR,
200212,R,19461128,AUS,
200213,R,19410709,AUS,
200214,R,19480111,SWE,
200215,R,,AUS,
200216,U,,AUS,
200217,U,19501115,AUS,
200218,U,,AUS,
200219,U,19530513,AUS,
200220,R,19491221,USA,
200221,L,19560810,AUS,165
200222,U,,AUS,
200223,R,19520224,USA,174
200224,U,,AUS,
200225,R,19500428,AUS,
200226,U,19481128,USA,
200227,U,,AUS,
200228,R,19490222,URS,170
200229,U,,AUS,
200230,U,,AUS,
200231,U,,AUS,
200232,U,19510504,USA,
200233,R,19511029,AUS,
200234,U,19531125,AUS,
200235,U,,AUS,
200236,U,,AUS,
200237,R,19450710,GBR,170
200238,R,19520903,FRA,
200239,U,,AUS,
200240,R,19521218,AZE,
200241,U,19530713,KOR,157
200242,U,,AUS,
200243,R,19540220,GBR,173
200244,U,,AUS,
200245,U,19531004,KOR,
200246,U,,AUS,
200247,U,19510502,DEN,
200248,U,,FRA,
200249,U,,ZIM,
200250,U,19530406,GBR,
200251,U,19510105,JPN,174
200252,U,19480831,BEL,
200253,U,19541117,JPN,
200254,U,19521130,BEL,
200255,U,19520715,GBR,
200256,R,19560319,AUS,175
200257,U,,AUS,
200258,U,19470226,KOR,
200259,R,19541221,USA,168
200260,U,19561127,HUN,
200261,U,19470308,JPN,
200262,U,19560409,AUS,
200263,R,19530806,USA,170
200264,R,19560926,SWE,168
200265,R,19500101,GBR,
200266,R,19560419,GBR,165
200267,U,,SWE,
200268,U,,AUS,
200269,U,19540519,USA,
200270,U,19520101,NED,
200271,U,19510320,SWE,
200272,U,19410917,AUS,
200273,U,19560513,AUS,
200274,R,19451208,USA,170
200275,R,19550822,USA,
200276,U,,AUS,
200277,U,,NED,
200278,U,,AUS,
200279,U,,AUS,
200280,U,19540519,USA,
200281,U,19510610,GBR,
200282,U,19551113,AUS,
200283,R,19510417,USA,178
200284,U,19510222,NED,
200285,U,19540430,SWE,163
200286,R,19490202,USA,
200287,U,19750513,JPN,
200288,R,19470711,GBR,
200289,U,,AUS,
200290,U,19540819,POR,
200291,R,19561109,AUS,
200292,U,,SWE,
200293,L,19561018,USA,173
200294,U,,AUS,
200295,U,,JPN,
200296,U,19560503,GBR,
200297,U,19580528,URS,
200298,R,19490504,USA,
200299,U,19570324,AUS,
200300,U,19550325,USA,
200301,U,,AUS,
200302,R,19570517,GBR,
200303,U,,AUS,
200304,U,,NZL,
200305,U,19550720,AUS,
200306,U,19570430,AUS,
200307,U,,AUS,
200308,U,19550719,AUS,
200309,U,,AUS,
200310,U,,AUS,
200311,U,19470524,USA,
200312,U,19540602,FRA,
200313,U,19570212,SWE,
200314,U,19561101,FRA,
200315,R,19580430,SWE,
200316,R,19491025,GER,172
200317,R,19411111,FRG,
200318,U,19580708,GBR,
200319,U,19560905,AUS,
200320,R,19541209,GER,168
200321,U,19580210,SWE,
200322,U,,AUS,
200323,U,19570512,USA,
200324,R,19570613,USA,
200325,L,19580410,AUS,168
200326,U,19550102,JPN,163
200327,U,19560315,DEN,
200328,U,19511125,USA,
200329,U,19570611,AUS,169
200330,U,19571014,AUS,
200331,U,19561011,USA,
200332,R,19600608,AUS,168
200333,R,19561023,USA,175
200334,R,19600417,ITA,170
200335,U,19531118,NZL,
200336,U,19590620,AUS,
200337,R,19550131,ROU,173
200338,U,19601003,AUS,
200339,R,19620424,AUS,
200340,U,19590523,NED,
200341,U,19551012,FRG,
200342,U,19560213,NZL,181
200343,R,19620810,AUS,
200344,R,19570402,USA,165
200345,U,19620104,AUS,
