player_id,hand,dob,ioc,height
100227,R,19510211,AUS,
100228,R,19510212,SWE,
100229,R,19510218,USA,188
100230,R,19510219,CAN,
100231,R,19510221,USA,183
100232,R,19510223,USA,170
100233,R,19510226,ARG,170
100234,R,19510301,AUS,
100235,R,19510301,ESP,
100236,R,19510307,AUS,183
100237,R,19510309,RSA,
100238,R,19510329,USA,
100239,R,19510422,GER,
100240,R,19510425,BRA,185
100241,R,19510425,USA,
100242,R,19510501,GBR,
100243,R,19510530,USA,175
100244,R,19510704,AUS,190
100245,R,19510705,USA,
100246,R,19510709,RSA,
100247,L,19510727,NED,190
100248,R,19510730,SUI,
100249,R,19510803,ITA,175
100250,R,19510824,USA,173
100251,R,19510827,USA,
100252,R,19510908,USA,180
100253,L,19510908,USA,180
100254,R,19511001,USA,188
100255,L,19511015,USA,183
100256,R,19511021,MEX,
100257,R,19511101,AUS,
100258,R,19511102,VEN,
100259,R,19511130,AUT,183
100260,R,19520103,USA,
100261,R,19520127,USA,183
100262,R,19520131,SWE,
100263,R,19520205,USA,
100264,R,19520207,YUG,
100265,R,19520209,AUS,
100266,R,19520216,GBR,190
100267,R,19520229,RSA,
100268,R,19520314,FRA,
100269,R,19520317,USA,
100270,R,19520320,IND,185
100271,L,19520331,FRA,
100272,R,19520405,USA,178
100273,R,19520408,AUS,183
100274,R,19520417,FRA,178
100275,R,19520423,GER,
100276,L,19520423,USA,178
100277,R,19520523,FRA,
100278,R,19520611,GER,
100279,R,19520617,USA,183
100280,R,19520803,POL,183
100281,R,19520809,IND,180
100282,L,19520817,ARG,180
100283,R,19520819,RSA,
100284,L,19520902,USA,178
100285,R,19520908,AUS,185
100286,R,19520917,USA,168
100287,R,19520918,GBR,
100288,R,19520921,SWE,
100289,R,19521029,RSA,
100290,R,19521031,USA,
100291,R,19521116,USA,
100292,R,19521204,CHI,178
100293,R,19521209,AUS,
100294,R,19521230,CAN,175
100295,R,19530119,CAN,
100296,R,19530207,NZL,
100297,R,19530219,ITA,178
100298,L,19530219,USA,
100299,R,19530225,USA,
100300,R,19530301,ESP,178
100301,R,19530312,USA,
100302,R,19530324,BRA,
100303,R,19530327,USA,
100304,R,19530430,USA,
100305,R,19530506,GBR,
100306,R,19530506,GBR,
100307,R,19530518,FRA,180
100308,R,19530615,RSA,180
100309,R,19530620,MEX,183
100310,R,19530623,RSA,
100311,R,19530714,CHI,173
100312,R,19530814,IND,
100313,R,19530818,USA,185
100314,R,19531005,FRA,173
100315,R,19531009,USA,193
100316,R,19531024,USA,
100317,R,19531025,GBR,
100318,R,19531103,BRA,
100319,R,19531129,USA,180
100320,R,19531205,USA,
100321,R,19531214,IND,193
100322,R,19531218,MEX,
100323,R,19540125,BRA,183
100324,R,19540204,USA,180
100325,R,19540207,GER,178
100326,R,19540222,NZL,188
100327,L,19540225,RSA,
100328,R,19540301,USA,
100329,R,19540325,NED,
100330,R,19540410,NGR,
100331,R,19540507,FRA,
100332,R,19540509,HUN,183
100333,R,19540523,JPN,
100334,R,19540605,AUS,
100335,R,19540607,USA,
100336,L,19540608,ARG,
100337,R,19540624,AUS,185
100338,R,19540630,USA,175
100339,L,19540702,USA,201
100340,R,19540706,USA,
100341,R,19540721,USA,
100342,R,19540726,USA,183
100343,R,19540827,GBR,178
100344,R,19540908,USA,
100345,R,19540916,USA,190
100346,R,19540922,AUS,
100347,R,19540922,AUS,
100348,R,19540924,FRA,185
100349,R,19540925,USA,
100350,R,19541011,GER,
100351,R,19541030,PUR,
100352,R,19541031,USA,
100353,R,19541101,USA,190
100354,R,19541109,RSA,188
100355,R,19541111,AUS,
100356,R,19541112,AUS,178
100357,R,19541113,IND,
100358,R,19541201,USA,180
100359,L,19541206,GBR,
100360,R,19541223,USA,190
100361,R,19550101,GBR,
100362,R,19550121,USA,196
100363,R,19550128,CZE,185
100364,R,19550129,GBR,188
100365,R,19550129,GER,
100366,R,19550204,GER,
100367,R,19550227,CHI,170
100368,R,19550227,ZIM,178
100369,R,19550304,FRA,180
100370,R,19550309,GER,
100371,R,19550311,GER,
100372,R,19550316,USA,173
100373,R,19550318,USA,
100374,L,19550325,ESP,
100375,R,19550407,USA,193
100376,R,19550425,GBR,193
100377,R,19550512,GBR,185
100378,R,19550517,USA,185
100379,R,19550519,USA,175
100380,R,19550604,USA,193
100381,R,19550611,USA,
100382,R,19550619,AUS,
100383,R,19550705,AUS,185
100384,R,19550714,COL,
100385,R,19550723,AUT,
100386,R,19550723,ESP,
100387,R,19550810,CZE,
100388,R,19550812,USA,
100389,R,19550814,USA,
100390,L,19550817,AUS,178
100391,R,19550821,USA,
100392,R,19550904,USA,183
100393,R,19550926,BRA,185
100394,R,19551010,ESP,163
100395,R,19551015,PAR,193
100396,L,19551019,GBR,
100397,R,19551021,AUS,180
100398,R,19551025,BRA,180
100399,R,19551027,USA,
100400,R,19551103,USA,
100401,R,19551112,IRL,
100402,R,19551119,PAR,193
100403,R,19551125,GER,185
100404,R,19551202,USA,
100405,R,19551202,PER,
100406,R,19551205,CAN,188
100407,R,19551216,AUS,
100408,R,19551221,USA,175
100409,R,19551222,USA,188
100410,R,19551228,USA,
100411,R,19551229,CZE,173
100412,R,19551231,USA,
100413,R,19560101,GER,
100414,R,19560112,GER,
100415,R,19560203,USA,178
100416,R,19560209,USA,
100417,R,19560209,CHI,183
100418,R,19560213,USA,
100419,R,19560217,USA,
100420,R,19560225,SUI,
100421,R,19560306,SWE,
100422,L,19560320,USA,173
100423,R,19560321,GER,
100424,R,19560328,USA,
100425,R,19560329,USA,
100426,R,19560402,AUT,185
100427,L,19560411,ITA,180
100428,R,19560411,USA,183
